ia_rms,ia_ang,ib_rms,ib_ang,ic_rms,ic_ang,in_rms,in_ang,va_rms,va_ang,vb_rms,vb_ang,vc_rms,vc_ang
100.948,97.227,102.549,336.123,112.674,211.437,52.262,182.001,88030.883,283.619,88468.133,163.174,87717.805,43.117
100.903,104.783,102.549,343.579,112.674,218.911,52.314,189.446,88030.313,291.118,88466.992,170.673,87718.516,50.617
100.903,112.119,102.549,351.079,112.674,226.411,52.314,197.078,88029.563,298.617,88466.219,178.173,87718.922,58.116
100.868,119.619,102.445,358.579,112.674,233.911,52.264,204.578,88028.195,306.116,88465.828,185.673,87719.25,65.616
100.822,127.07,102.445,6.077,112.641,241.411,52.36,211.912,88027.398,313.615,88465.055,193.173,87719.25,73.115
100.768,134.525,102.133,13.577,112.641,248.955,52.281,219.838,88026.813,321.115,88463.961,200.673,87719.32,80.615
100.949,141.984,101.71,21.116,112.641,256.455,51.989,226.827,88025.516,328.614,88464.305,208.174,87719.25,88.115
101.08,149.589,101.61,28.697,112.641,263.955,51.824,232.357,88024.82,336.114,88463.688,215.674,87719.281,95.616
101.08,157.146,101.519,36.224,112.641,271.455,51.76,238.952,88024.086,343.613,88462.875,223.174,87719.102,103.116
101.154,164.646,101.443,43.757,112.588,278.955,51.512,246.127,88022.938,351.113,88462.641,230.674,87719.242,110.616
101.004,172.161,101.508,51.295,112.588,286.356,51.744,252.253,88022.938,358.613,88462.445,238.175,87719.055,118.116
101.087,179.645,101.461,58.752,112.642,293.856,51.698,260.833,88021.766,6.113,88462.445,245.675,87719.516,125.616
101.004,187.146,101.375,66.299,112.642,301.402,51.629,267.96,88021.383,13.613,88462.555,253.175,87720.039,133.116
101.004,194.653,101.299,73.902,112.568,308.902,51.409,275.083,88021.75,21.113,88462.977,260.675,87721.203,140.617
101.004,202.153,101.266,81.509,112.568,316.363,51.327,281.454,88023.43,28.613,88463.039,268.173,87720.891,148.117
101.083,209.653,101.285,89.065,112.568,323.863,51.46,288.583,88025.867,36.113,88462.766,275.672,87720.547,155.617
101.083,217.125,101.285,96.509,112.479,331.363,51.387,296.797,88028.313,43.611,88462.328,283.17,87719.82,163.117
101.083,224.625,101.295,104.009,112.479,338.838,51.387,303.96,88029.961,51.11,88461.773,290.669,87720.203,170.617
101.129,232.125,101.267,111.563,112.479,346.338,51.46,311.46,88030.758,58.609,88461.023,298.168,87720.203,178.117
101.098,239.58,101.267,119.011,112.588,353.838,51.656,319.242,88031.227,66.108,88461.023,305.667,87719.016,185.617
101.12,247.129,101.322,126.511,112.588,1.344,51.478,327.228,88031.008,73.607,88460.758,313.167,87719.406,193.117
101.147,254.577,101.458,134.056,112.255,8.844,50.996,334.321,88030.75,81.107,88460.758,320.667,87720.133,200.617
101.148,261.968,101.678,141.636,112.255,16.367,50.719,340.806,88030.711,88.608,88461.406,328.167,87720.469,208.117
101.148,269.413,101.831,149.24,112.455,23.867,50.899,347.913,88030.672,96.109,88462.781,335.667,87720.164,215.617
